Character,Quote
Kahn," Inspector, fine this redneck for reckless redneck-itude!"
Hank Hill," Why don't we get you into one of those safety courses and if you're still interested after they've taken all the fun out of it, then we'll see about the ponchos and the... uh... tournament."
Boomhauer," Yo, man."
Didi Hill, What's his name?
Diminished Glutes Support Group, [Chanting at race]: We're here! No rear! Get used to it!
Hank, Where's my finger?
Peggy," Well, you can relax. The investigation has been off for a week, only Bobby didn't tell us."
Hank Hill," Dang it, Dale. It already happened once. What are the odds of it happening again?"
Part II,Peggy Hill: The Decline and Fall [4.1][edit]
Hank Hill," Now hold on a minute here. I didn't bring my family here to be yelled at. I don't think I like this club. You all whine too much, and the coffee's bad. I'll tell you what you need to do. You need to take a thirteenth step... down off your high horse!"
Joesph," No, I'm okay."
Seasons, 1 2 3 4 5 6 7 8 9 10 11 12 13 | Main
Bill, AAAAAAAAAAAHHHH!! It bites!
Hank, Bobby?
Bobby," Well, I need a window seat because this flower is wiltin'."
Hank Hill, What did the doctor say?
,(Dale and Chuck Mangione argue who's crazier)
Old woman on tape, Hello?
Bobby Hill," But what if the Wildcats give a hundred and ten percent, too?"
Peggy Hill," (subtitled): Your honor, I can tell you are a reasonable horse. I am very pregnant because of what happened with Lupe. She ate my bus accident and all I wanted was to make Lupe into a book. I have too many good anuses ahead of me to spend my life in a cigar factory."
Hank Hill, [leaving Bobby's room] That boy ain't right.
Hank Hill," Dale! What're you doin'? Give me some light! Now! I can't see! (Hank drops his wrench) Ow, my arm! (The hood closes) Ow, my head!"
Hank, Or wieners. Why not?
Dale Gribble," All right, twister. It's just you and me now. Ten years ago you took my shed. [the twister's image is reflected on his shades] Did you think I'd forget that? Come on, bring it on! [a raindrop hits the windshield] GAAHH!! No! Please, let me go! [Dale panics, and the Dead Bug veers out of control]"
Junichiro," There was not a time where I was not fascinated by robot. Robots are clean, efficient, reliable..."
Bobby, No.
Hank Hill," (reading it) ""The Elf-Lord Fylfendell knelt upon the bed of dandelions. 'Young wanderer,' quoth he, 'I have woven you a magic breastplate'""-- Bobby, television."
Kahn Souphanousinphone," Yeah, you win new car. This big game show. Just rake it stupid."
Seasons, 1 2 3 4 5 6 7 8 9 10 11 12 13 | Main
Hank," Well, how did you get Bill's key chain? Okay, you're under arrest for theft, too."
Coach Sauers," You little pantywads think you're ready to play the Wolves again? The Wolves eat razorblades for breakfast! Run, you bunch of pudgy-butted softies! Run, with your fancy sneakers, with pumps, valves and lights on the back that can set off a seizure! But what do you care? I ran around the world in a pair of Chuck Taylors for the love of pete! Take a salt tablet."
Lucky, I've seen a lot of nature documentaries and I find that most of life's questions can be answered with another question: what would a monkey do?
