Character,Quote
Seasons, 1 2 3 4 5 6 7 8 9 10 11 12 13 | Main
Dale Gribble," I know what's wrong with it. It's a Ford. You know what they say Ford stands for, don't ya? It stands for 'Fix it again, Tony'."
Hank Hill," You're thinking of a Fiat, Dale."
Dale Gribble," ""Fix... it... again..."""
Hank Hill," Whatcha listenin' to, son?"
Bobby Hill, I don't think you'd like it.
Hank Hill," Well, why not? I like this new generation of music. [puts headphones on]"
Old woman on tape, Hello?
Hank Hill," [takes headphones off] Mother of God, it's all toilet sounds! Where did you record this?"
Bobby Hill, I bought it at the mall! It's the Funny Phone Jerks!
Hank Hill," Let me tell you, Bobby, there's nothing ""funny"" about these sounds! What that person on your tape has is a medical disorder. Now you get ready for the game, OK?"
Bobby Hill," Yes, sir."
Hank Hill, [leaving Bobby's room] That boy ain't right.
Hank Hill," So, are you ready to kick some Wildcat butt, Bobby?"
Bobby Hill, Okay.
Peggy Hill," Nah, don't you worry, son. You just do your best."
Hank Hill," Don't listen to her, Bobby. If you wanna win, you're gonna have to do better than your best."
Bobby Hill, How do I do that?
Hank Hill, You gotta give a hundred and ten percent. That's what'll give you that winnin' edge.
Bobby Hill," But what if the Wildcats give a hundred and ten percent, too?"
Hank Hill," Well, then you gotta try even harder."
Peggy Hill, How about if Bobby gave a hundred and twelve percent?
Hank Hill," Ahm ... sure, that'd work."
Bobby Hill, Or maybe a hundred and thirteen?
Hank Hill," [Annoyed] Yeah, yeah, that's even better."
Peggy Hill," No, uh, I don't know. Thirteen is a very unlucky number."
Hank Hill," Look, we're not talking about thirteen. We're talking about a hundred and thirteen, and even ... uh ... okay, give a hundred and twelve, what's the difference? Look, Bobby. Just do your best, okay?"
Hank Hill," Excuse me, where's the hardware department?"
Buckley," [Clueless] Where is the hardware department? Uhm, hm, what exactly is it you're looking for?"
Hank Hill, The hardware department.
Buckley," Yeah, but are you looking for like a tool or something?"
Hank Hill, What difference does it make?
Buckley," Huh, what difference does it make?"
Hank Hill," Okay, I'm lookin' for a tap-and-die and some WD-40."
Buckley," Huh, what is it that you're trying to do?"
Hank Hill, [Losing patience] I'm tryin' to buy a tap-and-die and some WD-40 and get out of this God-forsaken store!
Buckley, Uh ... and what is a tap-and-die?
Hank Hill," Okay, forget it! Let's say I want a hammer. Do you know what a hammer is? That's what I want, a damned hammer! Now where in the hell would I go?"
Nearby Customer 1," Hey, that's that Hank Hill fella that lives on the block next to us."
Nearby Customer 2," He sure has a temper, doesn't he?"
Nearby Customer 1, Sure does. Makes you wonder who gave his boy that black eye.
Buckley," You're gonna have to pay for that, dude."
Hank Hill, [Shouting] You're fired!
Hank Hill, [referring to the sound of Bobby throwing a baseball at the living room wall] Dammit! There it is again! Where is that thumpin' comin' from? It's drivin' me crazy!
Dale Gribble, Could be far-off helicopters... U.N. helicopters.
Hank Hill," Dale! What're you doin'? Give me some light! Now! I can't see! (Hank drops his wrench) Ow, my arm! (The hood closes) Ow, my head!"
Anthony Page,"  Mr. Hill, I feel that you're coming from an anger mindset, and if you're projecting this anger onto me, it gives me grave concerns as to how you facilitate your son's growth in private."
Hank Hill," Mister, I have not begun to project my anger onto you!"
Hank Hill," Now you listen to me, mister. I work for a livin', and I mean real work, not writin' down gobbledegook! I provide the people of this community with propane and propane accessories. Oh, when I think of all my hard earned tax dollars goin' ta pay a bunch of little twig-boy bureaucrats like you, it just makes me wanna ... oh ... oh God ... it just ..."
Peggy Hill, Hank?
Hank Hill," Honey, bring me my BC headache powder and a glass of water."
Peggy Hill," Alright, Hank."
Hank Hill," Now you listen here. You see that boy? That's my boy! And if you ever try to take him away, so help me God, I'll tear ya a new one bigger'n the Grand Canyon! Now I want you to get out of my house, yer not welcome here! I mean now, before I give you a black eye! Git!"
Dale Gribble, I'm gonna help get him this alternator off. (Dale cuts a wire).
Bill," Ah, Dale, I think ya released the brake cable! Dale?"
Dale," No, I didn't. (The truck crashes into the garage door). I guess I'd better get goin', ah, I got some edging to do. (Dale grabs his cap out of the engine and he, along with Bill and Boomhauer, run back to their homes)."
Hank Hill," How is cutting down on pollution a government plot, Dale?"
Dale Gribble," Open up your eyes, man. They're trying to control global warming. Get it? GLO-BAL."
Hank Hill, So what?
Dale Gribble," That's code for U.N. commissars telling Americans what the temperature's going to be in their outdoors. I say let the world warm up, see what Boutros Boutros-Ghali-Ghali thinks about that! We'll grow oranges in Alaska."
Hank Hill," Dale, you giblet-head, we live in Texas. It's already 110° in the summer, and if it gets one degree hotter, I'm gonna kick your ass!"
Hank Hill," Bobby, you can't make an omelette without breakin' eggs, and you can't get on base without takin' a swing."
Bobby Hill," The pitcher could walk me, couldn't he?"
Hank Hill," Don't play lawyer-ball, son."
Boomhauer," [discussing Seinfeld] See that part where dang ol' George come in there, he talks 'bout tastin' his own burp and Kramer comes slidin' in there just like he always does.  I tell ya what, man, them dang ol' New York boys, just a show about nothin'."
Bobby," (Mocking his dad) Git out my house! My boy ain't much, but he's all I got!"
Hank," (Hank is lying on the bed) It's hard, Peggy. I don't wanna lose my little boy. My only son. But, oh, it's hard."
Peggy," Well, you can relax. The investigation has been off for a week, only Bobby didn't tell us."
Hank, I'LL KILL HIM!!!!!
Peggy," Alright, calm down, honey. Now, let me explain. He didn't do it to be mean, Bobby honestly doesn't think you love him all the time."
Hank," That's crazy, 'Course I love him."
Peggy," Very good. Now, say it to Bobby."
Hank, What are you talkin' about?
Peggy, I want you to tell Bobby that your love for him is unconditional.
Hank," Well, I can't say that. I can't! You know how I was raised! What my father's like!"
Cotton," (shown in a flashback to Hank's youth) I got my shins blowed off by a Japanman's machine gun, so don't come cryin' to me with your problems!"
Peggy," Honey, I'm begging you. For the sake of this family, you have got to do it. He's waiting for you out on the porch."
Hank," Ah, jeez. Twig-boy coming over here... (Hank goes outside and talks to Bobby) Uh, you, uh, you're my son, uh, well, you know with everything uh, that entails, uh..."
Bobby, Uh-huh.
Hank," Uh, huh, you know, uh, feelings of, uh, fondness, and more, uh, heh, uh, you know what I mean, don't you, boy?"
Bobby, No.
Hank," Uhh, well uh, (Hank makes a weird sound) Huh, that's a hell of a weird sound, I've never made that before. Uh, I, you, uh, family. You're not making this easy on me, boy. (sighs) Okay, I love you no matter what you do. There, phew, let's go get something to eat."
Bobby," I'm not, just a big disappointment to you?"
Hank," Disappointment? No, you make me proud. I've been disappointed by just about everything else in this town, but you? Not once. Dammit, you're my boy. Heh, you know better than that. (Bobby laughing)"
Anthony Page," He punched him! I, I knew it! I told them! Did-did you see that?"
Guy," See what, twig-boy?"
Anthony Page, (sighs) Never mind.
Peggy is attempting to say the names of reproductive organs for a sexual education class.,
Peggy Hill, Happiness. Happ-i-ness. Ha-penis. Penis. I did it! Ovaries. Uvula. Uterus. VAAAGINA!
[Hank does a spit-take with his beer.],
Peggy," Hey Hank, I just said..."
Hank, I heard ya! The whole neighborhood can hear you cussing!
Peggy," It's not cussing Hank, to say the name of a god-given body part."
Hank, Well it is if it's the part of a body that was meant to be concealed by an undergarment. You're dealing with organs that people just don't want to know about.
Peggy," Well, Bobby ought to know about 'em. We don't want him growing up as repressed as we did."
